SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
ADRA1B	17	76155	0.000223228940975642
ADRA1D	37	76159	0.000485825706745099
ADRA2A	27	76188	0.000354386517561821
ADRA2B	82	76178	0.00107642626480086
ADRA2C	18	76169	0.000236316611744936
ADRB1	19	76103	0.000249661642773609
ADRB2	9	76100	0.00011826544021025
ADRB3	69	76168	0.000905892238210272
ADRM1	456	76161	0.0059873163430102
ADSL	18	76119	0.000236471840145036
ADSS1	104	76183	0.00136513395376921
ADSS2	7	76094	9.19914842168896e-05
ADTRP	18	76183	0.00023627318430621
AEBP1	57	76160	0.000748424369747899
AEBP2	3	75783	3.95867146985472e-05
AEN	61	76178	0.000800756123815275
AFAP1	27	76174	0.000354451650169349
AFAP1-AS1	6	76135	7.88073816247455e-05
AFAP1L1	58	76149	0.000761664631183601
AFAP1L2	33	76136	0.00043343490595776
AFDN	17	76175	0.000223170331473581
AFF1	34	76109	0.000446727719454992
AFF1-AS1	7	76142	9.19334926847207e-05
AFF2	6	56170.5	0.000106817635591636
AFF2-IT1	5	50526.5	9.89579725490584e-05
AFF3	13	76128	0.000170765027322404
AFF4	4	76156	5.25237670045696e-05
AFG1L	266	76153	0.003492968103686
AFG3L1P	193	76165	0.00253397229698681
AFG3L2	47	76165	0.000617081336571916
AFM	388	76176	0.00509346775887419
AFMID	330	76172	0.00433230058289135
AFP	508	76176	0.00666876706574249
AFTPH	6	76128	7.88146279949559e-05
AGA	31	76172	0.000406973691120097
AGA-DT	5	76104	6.56995690108273e-05
AGAP1	6	76091	7.88529523859589e-05
AGAP1-IT1	7	75693	9.24788289538002e-05
AGAP10P	257	76063	0.00337877811813891
AGAP11	12	76140	0.000157604412923562
AGAP12P	3	71782	4.17932072107214e-05
AGAP13P	14	75785	0.000184733126608168
AGAP14P	1	56558	1.76809646734326e-05
AGAP2	9	76114	0.000118243687100928
AGAP2-AS1	1	76096	1.31412952060555e-05
AGAP3	205	76175	0.00269117164424024
AGAP4	105	76127	0.00137927410774101
AGAP5	1180	76127	0.0155004137822323
AGAP6	320	76195	0.00419975063980576
AGAP7P	218	70251	0.00310315867389788
AGAP9	151	75844	0.00199092874848373
AGBL1	409	76177	0.00536907465507962
AGBL1-AS1	6	76099	7.88446628733623e-05
AGBL2	358	76173	0.00469982802305279
AGBL3	246	76184	0.0032290244670797
AGBL4	52	76124	0.0006830960012611
AGBL4-AS1	2	76107	2.62787917011576e-05
AGBL4-IT1	1	76065	1.31466508906856e-05
AGBL5	54	76179	0.000708856771551215
AGBL5-AS1	2	76118	2.62749940881263e-05
AGBL5-IT1	1	76102	1.314025912591e-05
AGER	254	76166	0.00333482131134627
AGFG1	6	76114	7.88291247339517e-05
AGFG2	24	76164	0.000315109500551442
AGGF1	47	76153	0.000617178574711436
AGK	54	76161	0.000709024303777524
AGK-DT	6	76113	7.88301604193764e-05
AGL	211	76166	0.00277026494761442
AGMAT	112	76164	0.00147051100257339
AGMO	949	76149	0.0124624092240213
AGO1	1	76088	1.31426769004311e-05
AGO2	4	76128	5.25430853299706e-05
AGO3	4	76105	5.25589645883976e-05
AGO4	16	76145	0.000210125418609232
AGPAT1	2	76113	2.62767201397922e-05
AGPAT2	246	76141	0.00323084803194074
AGPAT3	9	76130	0.000118218836201235
AGPAT4	7	76145	9.19298706415392e-05
AGPAT5	32	76177	0.000420074300641926
AGPS	5	76090	6.57116572479958e-05
AGR2	7	76132	9.19455682236116e-05
AGR3	203	76152	0.00266572118920055
AGRN	112	76158	0.00147062685469681
AGRP	17	76170	0.000223184980963634
AGT	35	76178	0.000459450234975977
AGTPBP1	27	76132	0.000354647191719645
AGTR1	21	76149	0.000275775125083717
AGTR2	113	55924.5	0.00202058131945748
AGTRAP	22	76163	0.000288854168034347
AGXT	41	76126	0.000538580773979981
AGXT2	128	76151	0.0016808709012357
AHCTF1	109	76130	0.0014317614606594
AHCY	17	76173	0.00022317619103882
AHCYL1	1	76041	1.31508002261938e-05
AHCYL2	13	76151	0.000170713450906751
AHDC1	13	76171	0.00017066862716782
AHI1	621	76152	0.00815474314528837
AHNAK	69	76168	0.000905892238210272
AHNAK2	1100	76176	0.0144402436462928
AHR	10	76104	0.000131399138021655
AHRR	39	76187	0.000511898355362463
AHSA1	2	76090	2.62846628991983e-05
AHSA2P	50	76175	0.000656383327863472
AHSG	101	76175	0.00132589432228421
AHSP	33	76150	0.000433355219960604
AICDA	9	76163	0.000118167614195869
AIDA	15	76114	0.000197072811834879
AIDAP3	2	76051	2.62981420362651e-05
AIF1	25	76106	0.000328489212414264
AIF1L	11	76106	0.000144535253462276
AIFM1	1	56109	1.78224527259441e-05
AIFM1P1	1	75951	1.31663835894195e-05
AIFM2	113	76147	0.00148397179140347
AIFM3	133	76168	0.00174614011133284
AIG1	14	76114	0.000183934624379221
AIM2	1038	76149	0.0136311704684237
AIMP1	43	76106	0.000565001445352535
