SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
ANAPC1	114	730836	0.000155985747828514
ANAPC10	57	730930	7.79828437743696e-05
ANAPC11	42	730459	5.74980936643946e-05
ANAPC13	111	730941	0.00015185904197466
ANAPC15	81	730946	0.000110815299625417
ANAPC16	73	730943	9.98709885722963e-05
ANAPC1P1	125	728993	0.000171469410543037
ANAPC1P2	1	201365	4.9661063243364e-06
ANAPC1P3	12	193912	6.18837410784273e-05
ANAPC1P4	104	729483	0.000142566721911271
ANAPC1P5	28	717134	3.9044306921719e-05
ANAPC1P6	12	723620	1.65832895718747e-05
ANAPC2	56	730837	7.66244730357111e-05
ANAPC4	314	730903	0.000429605570096169
ANAPC5	725	730947	0.000991863979194114
ANAPC7	96	730944	0.000131337010769635
ANG	444	730947	0.000607431181740947
ANGEL1	2955	730947	0.00404270077037049
ANGEL2	1158	730946	0.00158424835760781
ANGPT1	74	730939	0.000101239638328233
ANGPT2	137	730947	0.000187428089861508
ANGPT4	974	730941	0.00133252889084071
ANGPTL1	382	730923	0.000522626870409058
ANGPTL2	154	730947	0.000210685590063301
ANGPTL3	1504	730702	0.00205829462626351
ANGPTL4	1476	730943	0.0020193093031878
ANGPTL5	2160	730918	0.00295518785965047
ANGPTL6	2275	730946	0.0031124050203435
ANGPTL7	983	730945	0.00134483442666685
ANGPTL8	1363	730713	0.00186530142477279
ANHX	618	691954	0.000893122953259899
ANK1	218	730947	0.000298243237881816
ANK2	218	730944	0.000298244461956046
ANK2-AS1	9	76171	0.000118155203423875
ANK3	192	730941	0.000262675099631844
ANK3-DT	1	61938	1.61451774355e-05
ANKAR	3607	730943	0.00493472131205853
ANKDD1A	974	730944	0.00133252342176692
ANKDD1B	9583	692113	0.0138460049153823
ANKEF1	736	730943	0.00100691846012617
ANKFN1	1040	730936	0.00142283318922587
ANKFY1	150	730947	0.000205213237074644
ANKH	96	730947	0.000131336471727772
ANKHD1	200	730947	0.000273617649432859
ANKHD1-DT	29	729699	3.97424143379667e-05
ANKHD1-EIF4EBP3	2258	730947	0.00308914326209698
ANKIB1	147	730845	0.000201137040001642
ANKK1	5102	730853	0.00698088398077315
ANKLE1	1618	730847	0.0022138696608182
ANKLE2	731	730946	0.00100007387686642
ANKMY1	1943	730947	0.00265819546424023
ANKMY2	375	730945	0.000513034496439541
ANKRA2	449	730931	0.000614285069315708
ANKRD1	627	730934	0.000857806587188447
ANKRD10	131	730947	0.000179219560378523
ANKRD10-IT1	1	76135	1.31345636041243e-05
ANKRD11	62	730942	8.48220515444454e-05
ANKRD12	691	730921	0.00094538260632818
ANKRD13A	229	730942	0.000313294351672226
ANKRD13B	120	730930	0.000164174407946041
ANKRD13C	72	730909	9.85074749387407e-05
ANKRD13D	185	730894	0.000253114678735904
ANKRD16	609	730936	0.00083317828099861
ANKRD17	72	730945	9.85026233163918e-05
ANKRD17-DT	14	335630	4.17126001847272e-05
ANKRD18A	572	729774	0.000783804301057588
ANKRD18B	4756	730493	0.00651067156016553
ANKRD18CP	456	722506	0.000631136627239082
ANKRD18DP	73	466302	0.000156550904778448
ANKRD19P	94	698843	0.000134508036855202
ANKRD2	392	730919	0.00053631113707538
ANKRD20A1	293	720815	0.000406484326769005
ANKRD20A11P	219	728486	0.000300623484871363
ANKRD20A17P	103	492405	0.000209177404778587
ANKRD20A18P	180	722246	0.000249222564057122
ANKRD20A19P	2	212974	9.39081765849352e-06
ANKRD20A21P	1632	729217	0.00223801694145913
ANKRD20A2P	589	728993	0.000807963862478789
ANKRD20A3P	34	724653	4.69190081321681e-05
ANKRD20A4-ANKRD20A20P	50	585946	8.53320954490687e-05
ANKRD20A4P	749	728964	0.00102748558227841
ANKRD20A5P	3036	729885	0.00415955938264247
ANKRD20A7P	584	729077	0.000801012787401056
ANKRD20A8P	755	729876	0.00103442228542931
ANKRD20A9P	193	718705	0.000268538551978907
ANKRD22	378	730922	0.000517155045271588
ANKRD23	1651	730943	0.00225872605661454
ANKRD24	1957	730856	0.00267768206048798
ANKRD26	1911	730941	0.0026144381010232
ANKRD26P1	92	152167	0.000604598894635499
ANKRD26P2	22	76068	0.000289214912972603
ANKRD26P3	285	76150	0.00374261326329613
ANKRD27	1537	730947	0.00210275163589152
ANKRD28	154	730845	0.000210714994287434
ANKRD29	578	730942	0.00079076041601112
ANKRD30A	13683	730943	0.0187196539265032
ANKRD30B	2564	730896	0.00350802302926819
ANKRD30BL	256	725599	0.000352811952607432
ANKRD30BP1	657	712446	0.000922175154327486
ANKRD30BP2	103	719125	0.000143229619329046
ANKRD30BP3	52	723425	7.18802916681066e-05
ANKRD31	2138	692654	0.00308667819719514
